League_Code,Year,Team_Name,Team_Link,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,id
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Shigetaka Egami,19,0,0,,0,3,0,3,0,0,,5,5,0,0,0,0,,1,0,0,0,20,1,9,0,0,1.8,,,egami-000shi
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Haruyasu Eto,31,0,2,0,4.01,9,5,3,0,0,,33.2,44,18,15,2,7,,9,0,0,0,149,1.515,11.8,0.5,1.9,2.4,1.29,,etoh--000har
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Kiyoshi Fujie,22,2,4,0.333,2.85,18,6,7,1,0,,66.1,49,26,21,2,28,,28,2,1,1,269,1.161,6.6,0.3,3.8,3.8,1,,fujie-000kiy
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Hiroyuki Imai,19,1,2,0.333,4.44,21,5,8,0,0,,48.2,45,26,24,4,18,,12,1,0,1,204,1.295,8.3,0.7,3.3,2.2,0.67,,imai--000hir
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Shinichi Inoue,22,14,5,0.737,2.93,32,23,2,6,1,,178.1,160,70,58,8,42,,54,7,0,2,729,1.133,8.1,0.4,2.1,2.7,1.29,,inoue-000shi
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Hiroshi Nakahara,29,8,5,0.615,3.58,26,16,8,5,4,,118,129,52,47,7,34,,42,2,0,1,498,1.381,9.8,0.5,2.6,3.2,1.24,,nakaha002hir
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Taisei Nakamura,17,4,2,0.667,3.16,10,4,4,1,0,,51.1,37,19,18,4,27,,25,2,0,0,210,1.247,6.5,0.7,4.7,4.4,0.93,,nakamu000tai
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Nobuo Nakatani*,33,4,8,0.333,3.85,31,6,15,1,0,,107.2,116,56,46,6,26,,37,2,0,2,450,1.319,9.7,0.5,2.2,3.1,1.42,,nakata000nob
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Masaharu Obata,19,3,3,0.5,4.26,16,6,8,1,0,,38,36,22,18,2,12,,14,0,0,0,159,1.263,8.5,0.5,2.8,3.3,1.17,,obata-000mas
JPPL,1953,Nankai Hawks,https://www.baseball-reference.com/register/team.cgi?id=95ef13d3,Taketoshi Ogami,20,19,8,0.704,2.24,43,29,9,16,4,,261.1,216,77,65,7,101,,109,7,0,2,1068,1.213,7.4,0.2,3.5,3.8,1.08,,ogami-000tak
