League_Code,Year,Team_Name,Team_Link,Name,Age,B,T,Ht,Wt,DoB,Birthplace,Stint,From,To,id
JPPL,2000,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=536c9188,Andy Abad,27,L,L,"6' 1""",184,"Aug 25, 1972","Palm Beach, FL, US",,,,abad--001fau
JPPL,1994,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=b98d3d97,Kyle Abbott,26,L,L,"6' 4""",200,"Feb 18, 1968","Newburyport, MA, US",,,,abbott002law
JPPL,1957,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=a72b41d6,Hachiro Abe,32,L,L,"6' 4""",143,"Jan 6, 1925","Fukushima, JP",,,,abe---000hac
JPPL,2017,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=d1253dd8,Kazunari Abe,28,R,R,"6' 0""",156,"May 19, 1989","Omuta, Fukuoka, JP",,2017-05-18,2017-05-24,abe---000kaz
JPCL,1988,Hiroshima Toyo Carp,https://www.baseball-reference.com/register/team.cgi?id=335493b7,Keiji Abe,27,R,R,"5' 6""",167,"Apr 20, 1961","Kishiwada, Osaka, JP",,,,abe---000kei
JPPL,1952,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=9f753c59,Nagahisa Abe,18,L,L,"5' 10""",156,"Dec 3, 1933","Kanagawa, JP",,,,abe---000nag
JPPL,1974,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=49fc4f43,Narihiro Abe,27,L,L,"5' 8""",154,"Mar 27, 1947","Iwate, JP",,,,abe---000nar
JPPL,2022,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=d5c0c304,Shota Abe,29,L,R,"5' 10""",171,"Nov 3, 1992",,,,,abe---000sho
JPCL,2014,Yokohama Bay Stars,https://www.baseball-reference.com/register/team.cgi?id=3f6257b5,Tateki Abe,27,R,R,"5' 10""",176,"Sep 3, 1986",,,2014-06-27,2014-10-04,abe---000tat
JPCL,2014,Hiroshima Carp,https://www.baseball-reference.com/register/team.cgi?id=4c866536,Tomohiro Abe,25,L,R,"5' 11""",176,"Jun 24, 1989","Kita Kyushu, Fukuoka, JP",,2014-08-03,2014-08-06,abe---000tom
JPPL,2017,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=b2390485,Toshihito Abe,28,L,R,"5' 11""",160,"Dec 23, 1988","Miyagi, JP",,2017-06-23,2017-10-10,abe---000tos
JPPL,1971,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=df53c3e2,Yoshio Abe,25,R,R,"5' 9""",167,"May 15, 1946","Ishinomaki, Miyagi, JP",,,,abe---000yos
JPPL,1962,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=a0c67389,Yuko Abe,19,L,L,"5' 11""",176,"Dec 4, 1942","Iwate, JP",,,,abe---000yuk
JPPL,1965,Nishitetsu Lions,https://www.baseball-reference.com/register/team.cgi?id=fbc54336,Kazuharu Abe,25,R,R,"5' 11""",167,"Apr 7, 1940","Hayami-gun, Oita, JP",,,,abe---001kaz
JPPL,2006,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=9600bb21,Kenta Abe,21,L,R,"6' 0""",178,"Sep 8, 1984","Matsuyama, Ehime, JP",,,,abe---001ken
JPPL,2006,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=9600bb21,Masahiro Abe,28,R,R,"6' 0""",176,"May 12, 1978","Kawasaki, Kanagawa, JP",,,,abe---001mas
JPPL,1992,Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=467bffb3,Osamu Abe,29,L,L,"6' 0""",165,"Dec 19, 1962",,,,,abe---001osa
JPCL,2008,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=7d195c6a,Shinnosuke Abe,29,L,R,"5' 11""",214,"Mar 20, 1979","Urayasu, Chiba, JP",,,,abe---001shi
JPPL,2023,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=e792204c,Toshiki Abe,33,R,R,"6' 1""",176,"Dec 3, 1989",JP,,,,abe---001tos
JPCL,1999,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=55bb94d6,Shigeki Abe,26,R,R,"5' 11""",185,"Jul 5, 1972","Minami Akita-gun, Akita, JP",,,,abe---002shi
JPPL,2014,Saitama Seibu Lions,https://www.baseball-reference.com/register/team.cgi?id=5e657459,Abner Abreu,24,R,R,"6' 3""",187,"Oct 24, 1989","San Pedro de Macoris, San Pedro de Macoris, DO",,2014-05-23,2014-06-01,abreu-001abn
JPPL,2013,Hokkaido Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=8afcfd42,Michel Abreu,34,R,R,"6' 3""",245,"Jan 2, 1979","Matanzas, Matanzas, CU",,2013-03-29,2013-10-06,abreu-001mic
JPPL,2008,Chiba Lotte Marines,https://www.baseball-reference.com/register/team.cgi?id=28834491,Winston Abreu,31,R,R,"6' 2""",170,"Apr 5, 1977","Cotui, Sanchez Ramirez, DO",,,,abreu-001win
JPCL,2019,Chunichi Dragons,https://www.baseball-reference.com/register/team.cgi?id=440abdcc,Takuma Achira,26,R,R,"6' 2""",209,"Nov 20, 1992",,,,,achira000tak
JPCL,2013,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=528f2434,Manny Acosta,32,R,R,"6' 4""",215,"May 1, 1981","Colon, Colon, PA",,2013-03-30,2013-08-02,acosta001man
JPCL,1998,Yakult Swallows,https://www.baseball-reference.com/register/team.cgi?id=4bfe7648,Mark Acre,29,R,R,"6' 8""",235,"Sep 16, 1968","Concord, CA, US",,,,acre--001mar
JPPL,1960,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=40a11a41,Mitsuhiro Adachi,20,R,R,"5' 8""",162,"Mar 10, 1940","Osaka, JP",,,,adachi000mit
JPPL,2017,Orix Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=cb5b5e33,Ryoichi Adachi,29,R,R,"5' 10""",165,"Jan 7, 1988",,,2017-03-31,2017-09-24,adachi000ryo
JPPL,1992,Osaka Kintetsu Buffaloes,https://www.baseball-reference.com/register/team.cgi?id=c07312e5,Toshiya Adachi,27,S,R,"5' 10""",160,"Jun 21, 1965","Kariya, Aichi, JP",,,,adachi000tos
JPPL,2017,Tohoku Rakuten Golden Eagles,https://www.baseball-reference.com/register/team.cgi?id=b2390485,Yuichi Adachi,27,R,R,"5' 10""",183,"Sep 22, 1989",JP,,2017-04-21,2017-10-09,adachi000yui
JPPL,1994,Nippon Ham Fighters,https://www.baseball-reference.com/register/team.cgi?id=07ce76f1,Wataru Adachi,26,L,R,"6' 0""",180,"Jan 8, 1968","Yonago, Tottori, JP",,,,adachi001wat
JPPL,1971,Hankyu Braves,https://www.baseball-reference.com/register/team.cgi?id=21a5b805,Jerry Adair,34,R,R,"6' 0""",175,"Dec 17, 1936","Sand Springs, OK, US",,,,adair-001ken
JPCL,2019,Yomiuri Giants,https://www.baseball-reference.com/register/team.cgi?id=6801865d,Samuel Adames,24,R,R,"6' 4""",190,"Sep 27, 1994","Azua, Azua, DO",,,,adames000sam
