game_id,team_side,lineup_slot,player_name_jp,position,is_starter,sub_type,ab,h,r,k,bb,sb,e,hr
eagles_2023_EF1,away,1,辰己　涼介,CF,1,,4,1,0,1,0,0,0,0
eagles_2023_EF1,away,2,小深田　大翔,LF,1,,4,1,0,0,0,0,0,0
eagles_2023_EF1,away,3,M.フランコ,DH,1,,4,3,2,0,0,0,0,1
eagles_2023_EF1,away,4,浅村　栄斗,2B,1,,4,0,0,0,0,0,0,0
eagles_2023_EF1,away,5,島内　宏明,RF,1,,4,0,0,0,0,0,0,0
eagles_2023_EF1,away,5,田中　和基,,0,DEF-RF,0,0,0,0,0,0,0,0
eagles_2023_EF1,away,6,阿部　寿樹,1B,1,,4,1,0,0,0,0,0,0
eagles_2023_EF1,away,7,山崎　剛,SS,1,,3,1,0,0,0,0,0,0
eagles_2023_EF1,away,8,伊藤　裕季也,3B,1,,3,1,1,2,0,0,0,1
eagles_2023_EF1,away,9,安田　悠馬,C,1,,3,1,0,0,0,0,0,0
eagles_2023_EF1,away,9,太田　光,,0,DEF-C,0,0,0,0,0,0,0,0
eagles_2023_EF1,home,1,松本　剛,LF,1,,4,1,0,1,0,0,0,0
eagles_2023_EF1,home,2,上川畑　大悟,SS,1,,3,0,0,0,1,0,0,0
eagles_2023_EF1,home,3,石井　一成,2B,1,,3,0,0,1,1,0,0,0
eagles_2023_EF1,home,4,野村　佑希,3B,1,,3,0,1,2,0,0,0,0
eagles_2023_EF1,home,5,清宮　幸太郎,1B,1,,4,1,0,1,0,0,0,0
eagles_2023_EF1,home,6,A.マルティネス,DH,1,,3,1,0,0,1,0,0,0
eagles_2023_EF1,home,7,万波　中正,RF,1,,3,0,0,3,0,0,0,0
eagles_2023_EF1,home,8,宇佐見　真吾,C,1,,3,0,0,0,0,0,0,0
eagles_2023_EF1,home,9,五十幡　亮汰,CF,1,,3,0,0,2,0,0,0,0
eagles_2023_EF2,away,1,辰己　涼介,CF,1,,6,1,2,3,0,0,0,1
eagles_2023_EF2,away,1,小深田　大翔,LF,0,DEF-3B,5,2,0,0,1,1,0,0
eagles_2023_EF2,away,2,M.フランコ,DH,1,,5,1,0,1,1,0,0,1
eagles_2023_EF2,away,3,浅村　栄斗,2B,1,,3,0,0,2,2,0,0,0
eagles_2023_EF2,away,3,島内　宏明,RF,0,DEF-LF,4,1,1,1,1,0,0,0
eagles_2023_EF2,away,4,阿部　寿樹,1B,1,,3,1,0,1,2,0,0,0
eagles_2023_EF2,away,4,田中　和基,,0,PR,0,0,0,0,0,0,0,0
eagles_2023_EF2,away,5,山崎　剛,SS,1,,3,0,0,1,2,0,0,0
eagles_2023_EF2,away,6,黒川　史陽,3B,1,,2,0,0,1,0,0,0,0
eagles_2023_EF2,away,6,伊藤　裕季也,,0,PH,1,0,0,1,0,0,0,1
eagles_2023_EF2,away,6,渡邊　佳明,,0,PH,0,0,0,0,1,0,0,0
eagles_2023_EF2,away,7,炭谷　銀仁朗,C,1,,3,1,0,0,1,0,0,0
eagles_2023_EF2,away,7,小郷　裕哉,,0,PH,1,0,0,0,0,0,0,0
eagles_2023_EF2,away,7,太田　光,,0,DEF-C,0,0,0,0,0,0,0,0
eagles_2023_EF2,home,1,矢澤　宏太,RF,1,,3,1,0,1,0,0,0,0
eagles_2023_EF2,home,1,今川　優馬,,0,PH,1,1,1,0,0,0,0,0
eagles_2023_EF2,home,1,伏見　寅威,,0,DEF-C,1,0,0,0,0,0,0,0
eagles_2023_EF2,home,2,石井　一成,2B,1,,4,0,0,1,0,0,0,0
eagles_2023_EF2,home,3,松本　剛,LF,1,,3,2,0,1,2,0,0,0
eagles_2023_EF2,home,4,野村　佑希,3B,1,,4,2,1,0,1,0,0,0
eagles_2023_EF2,home,4,福田　光輝,,0,PR,0,0,0,0,0,0,0,0
eagles_2023_EF2,home,5,清宮　幸太郎,1B,1,,5,2,2,0,0,0,0,0
eagles_2023_EF2,home,6,A.マルティネス,DH,1,,3,1,0,1,1,0,0,0
eagles_2023_EF2,home,7,上川畑　大悟,SS,1,,4,1,0,0,0,0,1,0
eagles_2023_EF2,home,8,清水　優心,C,1,,2,1,0,1,1,0,0,0
eagles_2023_EF2,home,8,江越　大賀,,0,PR,1,0,0,1,0,0,0,0
eagles_2023_EF2,home,9,五十幡　亮汰,CF,1,,3,0,0,1,0,0,0,0
eagles_2023_EF3,away,1,辰己　涼介,CF,1,,4,1,1,3,0,0,0,1
eagles_2023_EF3,away,2,小深田　大翔,LF,1,,4,0,0,0,0,0,0,0
eagles_2023_EF3,away,3,M.フランコ,DH,1,,4,0,0,1,0,0,0,1
eagles_2023_EF3,away,4,浅村　栄斗,2B,1,,2,1,0,0,2,0,0,0
eagles_2023_EF3,away,5,島内　宏明,RF,1,,3,0,0,0,1,0,0,0
eagles_2023_EF3,away,5,田中　和基,,0,DEF-RF,0,0,0,0,0,0,0,0
eagles_2023_EF3,away,6,阿部　寿樹,1B,1,,3,0,0,2,0,0,0,0
eagles_2023_EF3,away,7,山崎　剛,SS,1,,3,2,0,1,1,0,0,0
eagles_2023_EF3,away,8,伊藤　裕季也,3B,1,,4,0,0,1,0,0,1,1
