game_id,team_side,hit_type,player_name_jp
eagles_2023_EF1,away,2B,阿部
eagles_2023_EF1,away,2B,フランコ
eagles_2023_EF1,home,2B,清宮
eagles_2023_EF1,home,2B,松本剛
eagles_2023_EF2,away,2B,阿部
eagles_2023_EF2,home,3B,松本剛
eagles_2023_EF2,home,2B,松本剛
eagles_2023_EF2,home,2B,野村
eagles_2023_EF3,away,2B,辰己
eagles_2023_EF3,away,2B,山崎
eagles_2023_EF3,away,2B,山崎
eagles_2023_EL1,away,2B,児玉
eagles_2023_EL2,away,2B,山川
eagles_2023_EL2,home,2B,浅村
giants_1960_GC1,home,2B,森
giants_1960_GS1,away,2B,箱田
giants_1960_GS1,home,3B,与那嶺
giants_1960_GS1,home,2B,宮本
giants_1960_GS1,home,2B,与那嶺
giants_1960_GS1,home,2B,広岡
giants_1960_GS2,away,2B,小西
giants_1960_GS2,away,2B,佐藤
giants_1960_GS2,home,2B,長嶋
giants_1960_GS3,away,2B,岩下
lions_1980_FL3,away,2B,タイロン
lions_1980_FL3,home,3B,島田誠
lions_1980_FL3,home,2B,古屋
lions_1980_LH1,away,2B,片平
lions_1980_LH1,home,3B,山崎
lions_1980_LH2,away,3B,片平
lions_1980_LH2,home,2B,大石
lions_1980_LH2,home,2B,土井
