game_id,year,month,day,date,game_number,stadium,attendance,away_team,home_team,away_team_raw,home_team_raw,away_runs,home_runs,away_hits,home_hits,away_errors,home_errors,innings_played
eagles_2023_EF1,2023,3,30,2023-03-30,1,エスコンフィールド北海道,31092,EAG,FIG,RAKUTEN,NIPPONHAM-5,3,1,9,3,0,0,9
eagles_2023_EF2,2023,4,1,2023-04-01,2,エスコンフィールド北海道,30637,EAG,FIG,RAKUTEN,NIPPONHAM-5,3,4,7,11,0,1,10
eagles_2023_EF3,2023,4,2,2023-04-02,3,エスコンフィールド北海道,30775,EAG,FIG,RAKUTEN,NIPPONHAM-5,2,1,4,3,1,0,9
eagles_2023_EL1,2023,4,4,2023-04-04,1,楽天モバイルパーク,24365,LIO,EAG,SEIBU-2,RAKUTEN,4,0,5,4,0,0,9
eagles_2023_EL2,2023,4,5,2023-04-05,2,楽天モバイルパーク,21526,LIO,EAG,SEIBU-2,RAKUTEN,0,1,5,5,0,1,9
giants_1960_GC1,1960,4,5,1960-04-05,1,後楽園球場,22000,CAR,GIA,HIROSHIMA-3,KYOJIN,2,0,7,5,1,2,9
giants_1960_GS1,1960,4,2,1960-04-02,1,後楽園球場,32000,SWA,GIA,KOKUTETSU,KYOJIN,1,8,4,11,1,0,9
giants_1960_GS2,1960,4,3,1960-04-03,2,後楽園球場,40000,SWA,GIA,KOKUTETSU,KYOJIN,3,6,6,7,2,0,9
giants_1960_GS3,1960,4,3,1960-04-03,3,後楽園球場,40000,SWA,GIA,KOKUTETSU,KYOJIN,1,8,8,6,0,0,9
lions_1980_FL2,1980,4,6,1980-04-06,2,後楽園球場,38000,LIO,FIG,SEIBU,NIPPONHAM-2,1,3,7,4,0,0,9
lions_1980_FL3,1980,4,7,1980-04-07,3,後楽園球場,24000,LIO,FIG,SEIBU,NIPPONHAM-2,3,3,9,5,0,0,9
lions_1980_LH1,1980,4,8,1980-04-08,1,西武ライオンズ球場,21000,HAW,LIO,NANKAI,SEIBU,3,6,8,9,0,3,9
lions_1980_LH2,1980,4,10,1980-04-10,2,西武ライオンズ球場,17000,HAW,LIO,NANKAI,SEIBU,7,3,7,6,0,2,9
