game_id,team_side,team_raw,batter_name_jp,pitcher_name_jp,season_hr_number
eagles_2023_EF1,away,楽天,伊藤裕,加藤貴,1
eagles_2023_EF1,away,楽天,フランコ,加藤貴,1
eagles_2023_EF2,away,楽天,辰己,メネズ,1
giants_1960_GC1,away,広島,河村,安原,1
giants_1960_GS1,home,巨人,藤尾,金田正,1
giants_1960_GS1,home,巨人,長嶋,村田,1
giants_1960_GS2,away,国鉄,飯田,堀本,1
giants_1960_GS2,home,巨人,藤尾,北川,2
giants_1960_GS3,home,巨人,土屋,巽,1
giants_1960_GS3,home,巨人,長嶋,巽,2
giants_1960_GS3,home,巨人,藤尾,森滝,3
lions_1980_FL2,away,西武,土井,木田,1
lions_1980_FL3,away,西武,立花,岡部,1
lions_1980_LH1,away,南海,メイ,松沼雅,3
lions_1980_LH1,away,南海,門田,松沼雅,2
lions_1980_LH1,home,西武,タイロン,三浦,1
lions_1980_LH2,away,南海,王天上,東尾,2
lions_1980_LH2,home,西武,土井,山内,2
