game_id,team_side,pitch_order,player_name_jp,decision,ip,bf,h,k,bb,er,e
eagles_2023_EF1,away,1,田中　将大,W,5.2,22,2,5,3,1,0
eagles_2023_EF1,away,2,鈴木　翔天,H,0.1,1,0,0,0,0,0
eagles_2023_EF1,away,3,宋　家豪,H,1.0,4,1,2,0,0,0
eagles_2023_EF1,away,4,西口　直人,H,1.0,3,0,1,0,0,0
eagles_2023_EF1,away,5,松井　裕樹,SV,1.0,3,0,2,0,0,0
eagles_2023_EF1,home,1,加藤　貴之,L,7.0,27,8,3,0,3,0
eagles_2023_EF1,home,2,北山　亘基,,1.0,3,1,0,0,0,0
eagles_2023_EF1,home,3,田中　正義,,1.0,3,0,0,0,0,0
eagles_2023_EF2,away,1,瀧中　瞭太,,5.1,22,7,3,1,1,0
eagles_2023_EF2,away,2,鈴木　翔天,H,0.2,3,0,0,1,0,0
eagles_2023_EF2,away,3,伊藤　茉央,,0.1,2,0,0,1,1,0
eagles_2023_EF2,away,4,弓削　隼人,,0.2,6,2,1,2,1,0
eagles_2023_EF2,away,5,西口　直人,H,1.0,3,0,2,0,0,0
eagles_2023_EF2,away,6,宋　家豪,H,1.0,3,0,1,0,0,0
eagles_2023_EF2,away,7,宮森　智志,L,0.0,2,2,0,0,1,0
eagles_2023_EF2,home,1,上沢　直之,,5.0,24,2,4,7,1,0
eagles_2023_EF2,home,2,宮西　尚生,,1.0,4,1,1,1,0,0
eagles_2023_EF2,home,3,田中　正義,H,1.0,5,0,2,1,0,0
eagles_2023_EF2,home,4,C.メネズ,,0.2,6,3,2,1,2,0
eagles_2023_EF2,home,5,玉井　大翔,H,0.1,1,0,1,0,0,0
eagles_2023_EF2,home,6,石川　直也,H,1.0,5,1,1,1,0,0
eagles_2023_EF2,home,7,鈴木　健矢,W,1.0,3,0,0,0,0,0
eagles_2023_EF3,away,1,藤平　尚真,W,6.0,25,3,3,4,1,0
eagles_2023_EF3,away,2,鈴木　翔天,H,1.0,5,0,2,1,0,0
eagles_2023_EF3,away,3,西口　直人,H,1.0,3,0,1,0,0,0
eagles_2023_EF3,away,4,松井　裕樹,SV,1.0,3,0,1,0,0,0
eagles_2023_EF3,home,1,金村　尚真,,6.0,21,2,6,2,1,0
eagles_2023_EF3,home,2,北山　亘基,L,0.1,3,0,0,2,0,0
eagles_2023_EF3,home,3,C.メネズ,,0.2,4,0,1,2,0,0
eagles_2023_EF3,home,4,B.ロドリゲス,,1.0,4,1,0,0,0,0
eagles_2023_EF3,home,5,玉井　大翔,,1.0,4,1,1,0,0,0
eagles_2023_EL1,away,1,今井　達也,W,7.0,27,3,8,5,0,0
eagles_2023_EL1,away,2,J.ティノコ,H,1.0,3,0,0,1,0,0
eagles_2023_EL1,away,3,増田　達至,,1.0,4,1,0,0,0,0
eagles_2023_EL1,home,1,則本　昂大,L,6.0,24,4,7,2,2,0
eagles_2023_EL1,home,2,安楽　智大,,1.0,3,0,0,0,0,0
eagles_2023_EL1,home,3,伊藤　茉央,,1.0,3,0,0,0,0,0
eagles_2023_EL1,home,4,小孫　竜二,,0.0,3,0,0,3,2,0
eagles_2023_EL1,home,5,弓削　隼人,,1.0,4,1,1,0,0,0
eagles_2023_EL2,away,1,隅田　知一郎,L,6.0,25,3,4,5,1,0
eagles_2023_EL2,away,2,森脇　亮介,,1.0,4,0,0,1,0,0
eagles_2023_EL2,away,3,平井　克典,,1.0,5,2,0,1,0,0
eagles_2023_EL2,home,1,早川　隆久,W,6.0,23,4,5,1,0,0
eagles_2023_EL2,home,2,宋　家豪,H,1.0,4,0,0,1,0,0
eagles_2023_EL2,home,3,西口　直人,H,1.0,3,0,0,0,0,0
eagles_2023_EL2,home,4,松井　裕樹,SV,1.0,5,1,1,1,0,0
giants_1960_GC1,away,1,河村　英文,W,6.1,29,5,6,5,0,
giants_1960_GC1,away,2,鵜狩　好応,,2.2,9,0,4,1,0,
giants_1960_GC1,home,1,中村　稔,,6.0,23,4,4,1,0,
giants_1960_GC1,home,2,安原　達佳,L,3.0,14,3,0,1,1,
giants_1960_GS1,away,1,金田　正一,L,1.0,8,4,2,1,4,
giants_1960_GS1,away,2,村田　元一,,4.0,17,4,4,1,2,
giants_1960_GS1,away,3,森滝　義巳,,1.0,3,1,1,0,0,
giants_1960_GS1,away,4,高屋　俊夫,,1.0,6,2,1,0,0,
giants_1960_GS1,away,5,斎藤　良雄,,1.0,3,0,0,0,0,
giants_1960_GS1,home,1,伊藤　芳明,W,9.0,31,4,6,1,1,
giants_1960_GS2,away,1,北川　芳男,L,7.0,29,5,2,1,4,
giants_1960_GS2,away,2,高屋　俊夫,,1.0,5,2,1,0,1,
giants_1960_GS2,home,1,堀本　律雄,W,9.0,33,6,3,2,3,
giants_1960_GS3,away,1,田所　善治郎,L,0.2,7,1,1,4,3,
giants_1960_GS3,away,2,村田　元一,,0.1,1,0,0,0,0,
giants_1960_GS3,away,3,巽　一,,6.0,22,3,4,1,2,
giants_1960_GS3,away,4,森滝　義巳,,1.0,6,2,0,1,3,
giants_1960_GS3,home,1,青木　宥明,W,9.0,34,8,5,2,1,
lions_1980_FL2,away,1,松沼　博久,L,7.0,30,4,4,6,3,0
lions_1980_FL2,away,2,古沢　憲司,,1.0,3,0,1,0,0,0
lions_1980_FL2,home,1,木田　勇,W,9.0,33,7,4,3,1,0
